Designator,Footprint,Quantity,Value,LCSC Part #
C11,0805,1,100pF,
C13,0402,1,0.8pF,
C14,0402,1,0.3pF,
"C15, C16",0402,2,15pF,
"C17, C18, C23_2, C26, C27, C28, C30, C31, C32, C33, C35, C37",0805,12,100nF,
C23,0603,1,4.7uF,
C24,0805,1,4.7,
"C29, C34, C36",0805,3,4.7uF,
D1,0402,1,LED,
FL1,DLF162500LT5028A1,1,Low_Pass_Filter,
J1,SMA_Wurth_60312102114405_Vertical,1,Antenna,
J3,PinHeader_1x04_P1.00mm_Vertical,1,Conn_01x04_Pin,
J4,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0_16P,
L1,0402,1,10nH,
L2,0805,1,10uH,
L3,0402,1,2.7nH,
"R1, R4",0805,2,10k,
"R10, R9",0402,2,5.1k,
"R11, R12, R8",0805,3,220,
R3,0805,1,470,
SW1,SW_Push_1TS009xxxx-xxxx-xxxx_6x6x5mm,1,SW_Push,
"TP1, TP2, TP3",TestPoint_Pad_D1.0mm,3,TestPoint,
U1,QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm,1,STM32WB55CEU6,
U2,SOT-23-6,1,USBLC6-2SC6,
U3,TSOT-23-5_HandSoldering,1,AP2112K-3.3,
X2,NX2012SA32768KHZEXS00AMU00797,1,32.768kHz,
Y2,NX2016SA32MHZEXS00ACS06654,1,32MGHz,
