Designator,Mid X,Mid Y,Rotation,Layer
C11,128.09,-92.36,90.0,top
C13,128.38,-95.23,270.0,top
C14,131.79,-95.25,270.0,top
C15,118.09,-101.71,180.0,top
C16,120.88,-101.73,180.0,top
C17,111.21,-103.66,270.0,top
C18,106.71,-91.11,0.0,top
C23_2,104.09,-104.66,270.0,top
C23,98.22,-99.12,0.0,top
C24,101.26,-103.44,270.0,top
C26,116.28,-98.61,90.0,top
C27,128.06,-98.26,270.0,top
C28,114.11,-98.62,90.0,top
C29,114.06,-102.23,270.0,top
C30,117.98,-85.58,180.0,top
C31,114.54,-93.92,180.0,top
C32,125.01,-102.37,0.0,top
C33,118.039999,-90.01,180.0,top
C34,118.059999,-87.79,180.0,top
C35,130.25,-92.37,90.0,top
C36,123.93,-89.78,0.0,top
C37,131.89625,-103.9175,90.0,top
D1,131.4,-100.91,270.0,top
H1,143.64,-86.64,0.0,top
H2,87.83,-108.48,0.0,top
H3,87.82,-86.57,0.0,top
H4,144.05,-108.54,0.0,top
J1,141.33,-94.8,0.0,top
J2,108.356,-96.333925,270.0,top
J3,93.2,-107.3,0.0,top
J4,89.91,-96.45,270.0,top
L1,120.92,-89.84,90.0,top
L2,121.95,-87.4,0.0,top
L3,130.07,-94.78,0.0,top
R1,108.9,-103.67,90.0,top
R10,90.64,-102.45,180.0,top
R11,125.46,-106.98,90.0,top
R12,127.88,-106.98,270.0,top
R3,134.48625,-103.7975,270.0,top
R4,132.74625,-106.8675,180.0,top
R8,133.19,-99.21,270.0,top
R9,90.54,-90.0,180.0,top
SW1,141.52,-103.05,0.0,top
TP1,90.81,-104.64,0.0,top
TP2,101.29,-98.86,0.0,top
TP3,107.7,-106.51,0.0,top
U1,122.11,-95.97,180.0,top
U2,98.3,-96.29,180.0,top
U3,98.4,-103.23,90.0,top
X2,119.45,-104.13,0.0,top
